Notional Value,Price,Maturity,Coupon (%),Accrual Date
2777487764.02,60.39,2051-08-15,2.00,2021-08-15
2423786009.98,58.32,2051-11-15,1.88,2021-11-15
2325209796.05,92.79,2053-08-15,4.13,2023-08-15
2312439192.29,102.81,2053-11-15,4.75,2023-11-15
2292711907.10,103.00,2055-05-15,4.75,2025-05-15
2259779796.53,100.84,2054-05-15,4.63,2024-05-15
2161011385.30,94.83,2054-08-15,4.25,2024-08-15
2146746730.84,58.89,2051-02-15,1.88,2021-02-15
2049508900.30,94.79,2054-02-15,4.25,2024-02-15
1981992003.27,84.83,2053-05-15,3.63,2023-05-15
1932625964.33,100.91,2055-02-15,4.63,2025-02-15
1713460789.68,98.88,2054-11-15,4.50,2024-11-15
1713214387.45,90.84,2052-11-15,4.00,2022-11-15
1712203879.04,55.41,2050-11-15,1.63,2020-11-15
1594523536.80,61.60,2050-02-15,2.00,2020-02-15
1430289109.26,82.41,2048-11-15,3.38,2018-11-15
1376235636.65,77.19,2048-08-15,3.00,2018-08-15
1366615252.23,84.90,2053-02-15,3.63,2023-02-15
1333963673.77,79.12,2048-05-15,3.13,2018-05-15
1294605470.30,51.99,2050-08-15,1.38,2020-08-15
1185003609.95,76.86,2049-02-15,3.00,2019-02-15
1127115715.83,72.16,2046-05-15,2.50,2016-05-15
1123931174.92,72.40,2046-02-15,2.50,2016-02-15
1060444317.40,77.52,2048-02-15,3.00,2018-02-15
939474027.33,65.69,2049-08-15,2.25,2019-08-15
917422553.96,103.03,2055-08-15,4.75,2025-08-15
900676397.66,74.25,2047-11-15,2.75,2017-11-15
673225762.97,75.21,2052-08-15,3.00,2022-08-15
622126177.37,78.32,2047-02-15,3.00,2017-02-15
555171784.78,63.89,2052-02-15,2.25,2022-02-15
538420626.78,74.94,2049-05-15,2.88,2019-05-15
529239294.43,73.38,2052-05-15,2.88,2022-05-15
396536989.97,50.68,2050-05-15,1.25,2020-05-15
381325936.69,74.44,2047-08-15,2.75,2017-08-15
339351759.73,104.39,2045-08-15,4.88,2025-08-15
212950325.90,67.33,2049-11-15,2.38,2019-11-15
200173177.39,76.86,2046-11-15,2.88,2016-11-15
174538359.40,77.91,2045-08-15,2.88,2015-08-15
127021294.76,66.25,2051-05-15,2.38,2021-05-15
4145218.51,80.14,2044-11-15,3.00,2014-11-15
3593428.94,85.41,2044-05-15,3.38,2014-05-15
1094476.67,81.99,2044-08-15,3.13,2014-08-15
914946.88,102.73,2045-02-15,4.75,2025-02-15
205421.59,73.48,2045-02-15,2.50,2015-02-15
